"Plot","su","Temp","Campanula_rotundifolia","Centaurea_jacea","Clinopodium_vulgare","Euphrasia_stricta","Hypericum_maculatum","Knautia_arvensis","Prunella_vulgaris","Trifolium_pratense","Trifolium_repens"
17,"17_11.06.2003_17",21.8,0,0,0,0,0,0,0,2,0
3,"3_15.06.2003_13",22.6,0,0,0,0,0,0,0,2,1
20,"20_15.06.2003_12",19.7,0,0,0,0,0,0,0,3,0
7,"7_15.06.2003_9",23.5,0,0,0,0,0,0,0,1,0
16,"16_18.06.2003_12",28.1,0,0,0,0,0,0,0,1,0
5,"5_18.06.2003_11",27.6,0,0,0,0,0,0,0,0,1
15,"15_21.06.2003_14",30.3,0,0,0,0,0,0,0,1,3
10,"10_21.06.2003_16",23.4,0,0,0,0,0,0,0,9,3
8,"8_21.06.2003_10",20.4,0,0,0,0,0,0,0,4,0
17,"17_21.06.2003_13",24.3,0,0,0,0,0,0,0,6,6
15,"15_25.06.2003_13",24.6,0,0,0,0,0,0,0,4,8
20,"20_25.06.2003_15",25.4,0,0,0,0,0,0,0,4,0
9,"9_25.06.2003_16",24.4,0,0,0,0,0,0,0,2,43
13,"13_25.06.2003_18",25.1,0,0,0,0,0,0,0,3,2
4,"4_25.06.2003_19",23.1,0,0,0,0,0,0,0,2,7
18,"18_27.06.2003_11",30.8,0,0,0,1,0,0,0,11,24
10,"10_27.06.2003_12",32.3,0,0,0,3,0,0,13,16,3
8,"8_27.06.2003_14",34.6,0,0,0,0,0,0,0,10,1
15,"15_27.06.2003_15",41.8,0,0,0,0,0,0,0,3,12
18,"18_28.06.2003_9",27,0,0,0,1,0,0,0,11,24
7,"7_28.06.2003_10",30.4,0,0,0,4,0,0,4,2,0
1,"1_01.07.2003_10",34.1,0,0,0,0,0,0,2,0,0
3,"3_01.07.2003_19",20.6,1,0,0,0,0,0,9,11,22
5,"5_01.07.2003_11",29.1,0,0,0,0,0,0,0,23,8
11,"11_01.07.2003_17",29.4,0,0,0,0,0,0,8,7,0
19,"19_01.07.2003_17",25.9,1,0,0,0,0,1,5,26,25
9,"9_02.07.2003_10",28.6,0,0,0,14,0,0,4,61,41
17,"17_02.07.2003_14",24.5,0,0,0,10,0,1,0,41,8
16,"16_02.07.2003_15",27.7,0,0,0,0,0,0,5,16,13
10,"10_02.07.2003_16",27.3,0,0,0,12,0,0,47,39,1
13,"13_02.07.2003_11",25,0,0,0,0,0,0,7,5,5
19,"19_03.07.2003_18",27,4,0,0,0,0,1,5,26,31
18,"18_03.07.2003_18",27,0,0,0,3,0,1,0,20,29
2,"2_03.07.2003_13",25.8,0,0,0,25,0,0,16,14,8
9,"9_03.07.2003_13",31.1,0,0,0,14,0,0,4,61,41
13,"13_04.07.2003_11",19.8,0,0,0,0,0,0,6,3,4
15,"15_04.07.2003_11",36.8,0,0,0,8,0,0,6,31,12
10,"10_04.07.2003_14",36.2,6,0,0,12,0,0,44,66,0
7,"7_04.07.2003_14",35,0,0,0,0,0,0,13,4,0
3,"3_04.07.2003_15",40.1,4,0,0,0,0,0,11,25,13
11,"11_05.07.2003_11",28.3,0,0,0,2,0,0,10,18,0
16,"16_05.07.2003_11",30.4,1,0,0,0,0,0,3,22,0
2,"2_05.07.2003_12",34.1,0,0,8,51,1,0,19,13,3
9,"9_05.07.2003_15",39.9,0,0,0,25,0,0,6,96,0
4,"4_06.07.2003_12",44.3,0,0,8,9,0,0,51,18,0
7,"7_06.07.2003_12",39.6,0,0,0,14,0,0,8,10,0
12,"12_06.07.2003_11",29.4,2,0,0,1,0,0,28,26,0
17,"17_06.07.2003_11",30.4,2,0,0,16,0,0,0,42,4
5,"5_07.07.2003_12",27.9,0,0,2,5,1,0,0,43,2
6,"6_07.07.2003_11",33.9,9,0,0,1,0,0,4,24,0
3,"3_07.07.2003_?",29.2,6,0,10,0,0,0,20,15,8
18,"18_10.07.2003_9",32.1,10,0,5,19,0,2,0,53,18
15,"15_10.07.2003_9",33.5,0,0,5,17,3,0,5,55,2
10,"10_10.07.2003_9",22.6,6,0,0,26,0,0,19,63,0
8,"8_10.07.2003_14",30.2,0,0,0,11,12,0,2,38,0
11,"11_10.07.2003_14",30.8,3,0,0,2,0,0,0,23,0
20,"20_10.07.2003_14",32.7,18,0,0,1,0,0,45,18,0
1,"1_10.07.2003_15",33.9,0,0,15,0,16,0,13,5,4
17,"17_11.07.2003_12",28.4,11,0,0,36,3,2,0,37,5
8,"8_11.07.2003_12",25.9,0,0,1,14,15,0,4,49,0
