"Campanula_rotundifolia","Centaurea_jacea","Clinopodium_vulgare","Euphrasia_stricta","Hypericum_maculatum","Knautia_arvensis","Prunella_vulgaris","Trifolium_pratense","Trifolium_repens"
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,1,0
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,3,3
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,5,13
NA,NA,NA,NA,NA,NA,NA,2,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,0,NA,NA,NA,0,0
NA,NA,NA,0,NA,NA,10,2,2
NA,NA,NA,NA,NA,NA,NA,3,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,0,NA,NA,NA,0,1
NA,NA,NA,0,NA,NA,0,1,NA
NA,NA,NA,NA,NA,NA,0,NA,NA
0,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,1,0
NA,NA,NA,NA,NA,NA,2,0,NA
0,NA,NA,NA,NA,0,1,0,15
NA,NA,NA,0,NA,NA,0,8,0
NA,NA,NA,0,NA,0,NA,8,0
NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,0,NA,NA,11,4,0
NA,NA,NA,NA,NA,NA,1,0,0
0,NA,NA,NA,NA,0,0,0,0
NA,NA,NA,0,NA,0,NA,0,0
NA,NA,NA,0,NA,NA,0,0,0
NA,NA,NA,0,NA,NA,0,2,2
NA,NA,NA,NA,NA,NA,4,0,0
NA,NA,NA,0,NA,NA,7,0,0
8,NA,NA,0,NA,NA,0,0,NA
NA,NA,NA,NA,NA,NA,0,0,NA
0,NA,NA,NA,NA,NA,5,2,0
NA,NA,NA,0,NA,NA,0,0,NA
0,NA,NA,NA,NA,NA,0,2,NA
NA,NA,0,0,0,NA,0,0,0
NA,NA,NA,0,NA,NA,4,28,NA
NA,NA,0,5,NA,NA,0,3,NA
NA,NA,NA,1,NA,NA,4,0,NA
0,NA,NA,0,NA,NA,21,3,NA
1,NA,NA,0,NA,NA,NA,10,3
NA,NA,0,0,0,NA,NA,0,0
0,NA,NA,0,NA,NA,6,1,NA
4,NA,3,NA,NA,NA,2,0,0
7,NA,0,0,NA,0,NA,1,0
NA,NA,4,0,0,NA,4,3,0
0,NA,NA,0,NA,NA,12,11,NA
NA,NA,NA,0,11,NA,2,4,NA
2,NA,NA,0,NA,NA,NA,0,NA
