"plot","su"
"17","17_11.06.2003_17"
"3","3_15.06.2003_13"
"20","20_15.06.2003_12"
"7","7_15.06.2003_9"
"16","16_18.06.2003_12"
"5","5_18.06.2003_11"
"15","15_21.06.2003_14"
"10","10_21.06.2003_16"
"8","8_21.06.2003_10"
"17","17_21.06.2003_13"
"15","15_25.06.2003_13"
"20","20_25.06.2003_15"
"9","9_25.06.2003_16"
"13","13_25.06.2003_18"
"4","4_25.06.2003_19"
"18","18_27.06.2003_11"
"10","10_27.06.2003_12"
"8","8_27.06.2003_14"
"15","15_27.06.2003_15"
"18","18_28.06.2003_9"
"7","7_28.06.2003_10"
"1","1_01.07.2003_10"
"3","3_01.07.2003_19"
"5","5_01.07.2003_11"
"11","11_01.07.2003_17"
"19","19_01.07.2003_17"
"9","9_02.07.2003_10"
"17","17_02.07.2003_14"
"16","16_02.07.2003_15"
"10","10_02.07.2003_16"
"13","13_02.07.2003_11"
"19","19_03.07.2003_18"
"18","18_03.07.2003_18"
"2","2_03.07.2003_13"
"9","9_03.07.2003_13"
"13","13_04.07.2003_11"
"15","15_04.07.2003_11"
"10","10_04.07.2003_14"
"7","7_04.07.2003_14"
"3","3_04.07.2003_15"
"11","11_05.07.2003_11"
"16","16_05.07.2003_11"
"2","2_05.07.2003_12"
"9","9_05.07.2003_15"
"4","4_06.07.2003_12"
"7","7_06.07.2003_12"
"12","12_06.07.2003_11"
"17","17_06.07.2003_11"
"5","5_07.07.2003_12"
"6","6_07.07.2003_11"
"3","3_07.07.2003_?"
"18","18_10.07.2003_9"
"15","15_10.07.2003_9"
"10","10_10.07.2003_9"
"8","8_10.07.2003_14"
"11","11_10.07.2003_14"
"20","20_10.07.2003_14"
"1","1_10.07.2003_15"
"17","17_11.07.2003_12"
"8","8_11.07.2003_12"
"10","10_11.07.2003_13"
"2","2_12.07.2003_12"
"3","3_12.07.2003_11"
"12","12_12.07.2003_14"
"13","13_12.07.2003_15"
"19","19_12.07.2003_16"
"6","6_12.07.2003_11"
"1","1_12.07.2003_16"
"3","3_14.07.2003_10"
"9","9_14.07.2003_12"
"11","11_14.07.2003_18"
"5","5_14.07.2003_18"
"17","17_14.07.2003_12"
"4","4_15.07.2003_13"
"5","5_15.07.2003_16"
"19","19_15.07.2003_16"
"20","20_15.07.2003_16"
"6","6_16.07.2003_20"
"5","5_16.07.2003_19"
"4","4_16.07.2003_20"
"7","7_17.07.2003_9"
"11","11_17.07.2003_10"
"18","18_17.07.2003_10"
"16","16_17.07.2003_10"
"1","1_17.07.2003_12"
"9","9_17.07.2003_12"
"10","10_17.07.2003_13"
"19","19_17.07.2003_8"
"15","15_17.07.2003_9"
"14","14_17.07.2003_8"
"4","4_19.07.2003_17"
"17","17_19.07.2003_13"
"11","11_19.07.2003_13"
"6","6_19.07.2003_13"
"2","2_19.07.2003_12"
"19","19_22.07.2003_14"
"18","18_22.07.2003_14"
"12","12_22.07..03_13"
"9","9_22.07.2003_13"
"7","7_22.07.2003_13"
"3","3_22.07.2003_12"
"13","13_23.07.2003_10"
"5","5_23.07.2003_14"
"20","20_23.07.2003_9"
"9","9_23.07.2003_12"
"15","15_23.07.2003_12"
"14","14_23.07.2003_14"
"11","11_25.07.2003_15"
"17","17_25.07.2003_14"
"10","10_25.07.2003_11"
"1","1_25.07.2003_10"
"2","2_28.07.2003_12"
"3","3_28.07.2003_15"
"6","6_28.07.2003_12"
"12","12_28.07.2004_14"
"18","18_28.07.2003_14"
"20","20_29.07.2003_16"
"9","9_29.07.2003_16"
"13","13_29.07.2003_11"
"7","7_29.07.2003_11"
"4","4_29.07.2003_11"
"8","8_29.07.2003_12"
"19","19_29.07.2003_14"
"14","14_29.07.2003_14"
"6","6_01.08.2003_11"
"1","1_01.08.2003_11"
"10","10_01.08.2003_10"
"16","16_01.08.2003_11"
"5","5_01.08.2003_10"
"15","15_01.08.2003_9"
"2","2_02.08.2003_13"
"17","17_02.08.2003_12"
"11","11_02.08.2003_12"
"7","7_04.08.2003_14"
"3","3_04.08.2003_12"
"8","8_04.08.2003_16"
"4","4_04.08.2003_16"
"12","12_04.08.2003_14"
"18","18_04.08.2003_15"
"19","19_05.08.2003_11"
"13","13_05.08.2003_11"
"20","20_05.08.2003_11"
"14","14_05.08.2003_11"
"9","9_05.08.2003_13"
"15","15_05.08.2003_13"
"17","17_06.08.2003_11"
"5","5_06.08.2003_10"
"1","1_06.08.2003_11"
"10","10_06.08.2003_11"
"16","16_06.08.2003_11"
"1","1_07.08.2003_15"
"11","11_07.08.2003_15"
"6","6_07.08.2003_15"
"18","18_07.08.2003_16"
"7","7_08.08.2003_9"
"2","2_08.08.2003_9"
"12","12_08.08.2003_9"
"9","9_08.08.2003_12"
"3","3_08.08.2003_12"
"20","20_08.08.2003_14"
"19","19_08.08.2003_14"
"10","10_08.08.2003_15"
"13","13_08.08.2003_15"
"4","4_09.08.2003_9"
"5","5_09.08.2003_9"
"14","14_09.08.2003_10"
"16","16_09.08.2003_10"
"8","8_09.08.2003_10"
"7","7_09.08.2003_12"
"15","15_09.08.2003_12"
"17","17_10.08.2003_11"
"9","9_10.08.2003_10"
"11","11_10.08.2003_11"
"2","2_10.08.2003_10"
"2","2_17.08.2003_11"
"9","9_17.08.2003_12"
